Region	Plot_ID	ID	Bias	GPS_N	GPS_E	Jan_tmean_	Feb_tmean_	Mar_tmean_	Apr_tmean_	May_tmean_	Jun_tmean_	Jul_tmean_	Aug_tmean_	Sep_tmean_	Oct_tmean_	Nov_tmean_	Dec_tmean_	WI	Annual_tme	Spr_tmean_	Sum_tmean_	Aut_tmean_	Win_tmean_	Jan_prec	Feb_prec	Mar_prec	Apr_prec	May_prec	Jun_prec	Jul_prec	Aug_prec	Sep_prec	Oct_prec	Nov_prec	Dec_prec	Total_prec	Spr_prec	Sum_prec	Aut_prec	Win_prec	Fog_full	Fog_Nov	Fog_Dec	Fog_Jun	Fog_Oct	Fog_Sep	Fog_Aug	Fog_Jul	Fog_May	Fog_Apr	Fog_Mar	Fog_Feb	Fog_Jan	Fog_winter	Fog_spring	Fog_summer	Fpg_autumn	elevation
TSS	TSS01	1	4	24.5245	121.36522	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2030
TSS	TSS01A1	1	4	24.5245	121.36522	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2030
TSS	TSS01A2	1	8	24.5245	121.36522	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2030
TSS	TSS01A3	1	5	24.5245	121.36522	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2030
TSS	TSS01A4	1	5	24.5245	121.36522	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2030
TSS	TSS01A5	1	5	24.5245	121.36522	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2030
TSS	TSS02	2	4	24.52477	121.36534	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2042
TSS	TSS02A1	2	5	24.52477	121.36534	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2042
TSS	TSS02A2	2	5	24.52477	121.36534	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2042
TSS	TSS02A3	2	5	24.52477	121.36534	6.792166257	7.979136805	10.46155787	13.16997795	15.46271977	17.07529697	17.7281289	17.28350672	16.14807096	13.83178368	11.25509044	7.845331504	95.03276782	12.91939732	13.03141853	17.36231086	13.74498169	7.538878189	67.11226034	97.72153373	102.594615	121.3602345	153.9465936	189.4332525	223.1002178	311.6411626	351.0602894	197.5101375	71.68409399	65.69963901	1952.86403	377.901443	724.1746329	620.2545209	230.5334331	0.09837	0.12654	0.13154	0.07619	0.08955	0.05049	0.03512	0.03824	0.08524	0.12618	0.12014	0.10432	0.16554	0.1338	0.11052	0.04985	0.08886	2042
