Plot_ID	ID	Region	WGS84_E	WGS84_N	elev	bias	Spr_Wet	Sum_Wet	Aut_Wet	Win_Wet	Spr_Dry	Sum_Dry	Aut_Dry	Win_Dry	Froz	OpenSkyRatio	Cloud_Mask	Fog_1	Fog_2	Fog_3	Fog_4	Fog_5	Fog_6	Fog_7	Fog_8	Fog_9	Fog_10	Fog_11	Fog_12	Fog_year	Jan_tmean_	Feb_tmean_	Mar_tmean_	Apr_tmean_	May_tmean_	Jun_tmean_	Jul_tmean_	Aug_tmean_	Sep_tmean_	Oct_tmean_	Nov_tmean_	Dec_tmean_	WI	Annual_tme	Spr_tmean_	Sum_tmean_	Aut_tmean_	Win_tmean_	Jan_prec	Feb_prec	Mar_prec	Apr_prec	May_prec	Jun_prec	Jul_prec	Aug_prec	Sep_prec	Oct_prec	Nov_prec	Dec_prec	Total_prec	Spr_prec	Sum_prec	Aut_prec	Win_prec	WPR	SPR	Jan_def	Feb_def	Mar_def	Apr_def	May_def	Jun_def	Jul_def	Aug_def	Sep_def	Oct_def	Nov_def	Dec_def	Spr_def	Sum_def	Aut_def	Win_def	Total_def
DGJ_01	1	DGJ	121.37903	24.536789	1965	4	6	0	4.7	6.7	1.7	2.7	2.7	0.7	2.3	0.361334906	0.297055	0.211866	0.179606	0.169932	0.186998	0.155607	0.106833	0.0641777	0.0621362	0.117065	0.201826	0.211905	0.218928	0.161368	7.752214434	8.948239119	11.38522481	14.19013533	16.56047683	18.22761714	18.88358758	18.43096647	17.22726783	14.8006557	12.2275861	8.804215585	107.4381869	13.95318224	14.04527899	18.51405706	14.75183655	8.501556379	64.65124112	93.33153568	96.34032891	114.9632697	153.3829246	194.0386198	232.6060304	327.4353709	378.9530023	223.506889	80.19546941	69.42137641	2028.826058	364.6865232	754.080021	682.6553607	227.4041532	0.11208657	0.179752484	49.14681225	75.43505744	73.5698793	86.58299908	120.2619709	157.5833855	194.8388552	290.5734379	344.4984666	193.9055776	55.7402972	51.81294524	280.4148493	642.9956786	594.1443414	176.3948149	1693.949684
DGJ_02	3	DGJ	121.379435	24.53724	1984	8	6	0	4.7	6.7	1.7	2.7	2.7	0.7	2.3	0.427560968	0.298408	0.209024	0.177867	0.171382	0.192849	0.157589	0.115558	0.064629	0.0635993	0.120109	0.204457	0.212267	0.219086	0.162986	7.752214434	8.948239119	11.38522481	14.19013533	16.56047683	18.22761714	18.88358758	18.43096647	17.22726783	14.8006557	12.2275861	8.804215585	107.4381869	13.95318224	14.04527899	18.51405706	14.75183655	8.501556379	64.65124112	93.33153568	96.34032891	114.9632697	153.3829246	194.0386198	232.6060304	327.4353709	378.9530023	223.506889	80.19546941	69.42137641	2028.826058	364.6865232	754.080021	682.6553607	227.4041532	0.11208657	0.179752484	49.14681225	75.43505744	73.5698793	86.58299908	120.2619709	157.5833855	194.8388552	290.5734379	344.4984666	193.9055776	55.7402972	51.81294524	280.4148493	642.9956786	594.1443414	176.3948149	1693.949684
DGJ_03	5	DGJ	121.379824	24.537257	1993	11	6	0	4.7	6.7	1.7	2.7	2.7	0.7	2.3	0.3082125	0.299566	0.208349	0.178382	0.17179	0.195709	0.160178	0.11995	0.0658293	0.0669736	0.12177	0.206308	0.211708	0.221478	0.164566	7.752214434	8.948239119	11.38522481	14.19013533	16.56047683	18.22761714	18.88358758	18.43096647	17.22726783	14.8006557	12.2275861	8.804215585	107.4381869	13.95318224	14.04527899	18.51405706	14.75183655	8.501556379	64.65124112	93.33153568	96.34032891	114.9632697	153.3829246	194.0386198	232.6060304	327.4353709	378.9530023	223.506889	80.19546941	69.42137641	2028.826058	364.6865232	754.080021	682.6553607	227.4041532	0.11208657	0.179752484	49.14681225	75.43505744	73.5698793	86.58299908	120.2619709	157.5833855	194.8388552	290.5734379	344.4984666	193.9055776	55.7402972	51.81294524	280.4148493	642.9956786	594.1443414	176.3948149	1693.949684
DGJ_04	7	DGJ	121.380087	24.537707	2005	5	6	0	4.7	6.7	1.7	2.7	2.7	0.7	2.3	0.438257878	0.30043	0.202761	0.175754	0.172827	0.198261	0.162832	0.128544	0.0668644	0.0700777	0.123083	0.20514	0.208556	0.21855	0.164664	7.139863442	8.366733623	10.85228257	13.58094067	15.87017508	17.48715971	18.10657853	17.66524084	16.5032503	14.14153024	11.57961801	8.174701347	99.46807436	13.2890062	13.4344661	17.75299303	14.07479952	7.893766137	64.3264053	93.42921626	97.19602921	115.7453941	153.1507666	194.9533579	230.5188651	325.1473009	374.9460608	218.927499	78.76722282	68.14980877	2015.257927	366.0921899	750.619524	672.6407826	225.9054303	0.112097527	0.181660216	50.04667841	76.69574901	75.49146408	88.58351276	121.4104165	159.9790385	194.3057081	289.8168193	341.9395602	190.6444385	55.6079868	51.80040607	285.4853933	644.1015659	588.1919855	178.5428335	1696.321778
DLM_01	9	DLM	121.367559	24.632697	2107	5	12.7	6.3	9.3	10.7	0.7	0.5	1.7	1.7	1.9	0.467896196	0.330632	0.264884	0.207953	0.264968	0.295942	0.226573	0.176387	0.0942551	0.088749	0.153939	0.20873	0.174838	0.227009	0.201021	6.918568061	8.10000123	10.60118086	13.35179026	15.5982439	17.27127128	17.83983017	17.44179316	16.2092912	13.78555785	11.30260192	7.930996744	96.35112663	13.02926055	13.18373834	17.51763154	13.76581699	7.649855345	61.87372981	92.69241932	99.8482015	115.8261854	160.6708101	226.2172198	242.4119828	368.5922298	396.8802619	219.3620076	77.63588936	64.1012561	2126.112194	376.345197	837.2214325	693.8781588	218.6674052	0.102848479	0.177010977	48.03659369	76.49241686	78.64583979	89.12260491	129.4743223	191.6746773	206.7323225	333.7086435	364.4616794	191.7908919	55.03068553	48.23926261	297.242767	732.1156433	611.2832569	172.7682732	1813.40994
DLM_02	11	DLM	121.367745	24.632243	2098	5	12.7	6.3	9.3	10.7	0.7	0.5	1.7	1.7	1.9	0.374991841	0.331292	0.265473	0.208272	0.260532	0.294705	0.224208	0.171948	0.092411	0.0865658	0.152702	0.211031	0.178122	0.227832	0.20027	7.103003488	8.268716932	10.74435162	13.51880323	15.79283565	17.48265862	18.06875442	17.67216593	16.43594815	14.00310261	11.51448943	8.134392931	98.739223	13.22826858	13.35199683	17.74119299	13.98451339	7.835371117	61.81390771	93.41100712	100.7575225	117.3174537	161.6042305	226.5393207	241.9437987	368.5034952	393.739112	215.0728164	75.64033905	62.96087002	2119.303874	379.6792067	836.9866145	684.4522674	218.1857848	0.102951628	0.179152792	47.60790073	76.87357325	79.26881931	90.27984722	130.0185592	191.5740035	205.8062898	333.1591633	360.8672157	187.0666111	52.6113602	46.69208416	299.5672258	730.5394566	600.5451871	171.1735581	1801.825428
DLM_03	13	DLM	121.36651	24.631931	2150	4.5	12.7	6.3	9.3	10.7	0.7	0.5	1.7	1.7	1.9	0.475610548	0.330229	0.248499	0.201256	0.250228	0.273719	0.215222	0.165031	0.0826247	0.0830308	0.144871	0.191057	0.164297	0.214417	0.188308	6.446915555	7.69521172	10.24256299	12.90821535	15.06390902	16.66424969	17.1946611	16.79550946	15.60101926	13.23751514	10.75529366	7.416577872	90.02164083	12.5018034	12.73822912	16.88480675	13.19794269	7.186235049	60.66335044	90.19995708	98.03450191	113.4071795	157.7241184	221.4731786	243.0457174	364.5489275	397.7610993	220.8039365	77.52139144	63.87796915	2109.061327	369.1657998	829.0678235	696.0864272	214.7412767	0.101818413	0.175037964	47.76951933	74.80953364	77.54937593	87.59074878	127.5963004	188.1446792	208.6563952	330.9579086	366.5590608	194.3289062	56.01080412	49.04481341	292.7364251	727.758983	616.8987711	171.6238664	1809.018046
DLM_04	15	DLM	121.367108	24.632584	2012	4.9	12.7	6.3	9.3	10.7	0.7	0.5	1.7	1.7	1.9	0.463444519	0.330211	0.25938	0.205852	0.261173	0.289884	0.225489	0.173881	0.0915377	0.088784	0.15055	0.202	0.170981	0.223167	0.197432	6.891938735	8.081864147	10.58102678	13.31750586	15.55120373	17.21261339	17.77973219	17.38213055	16.15866701	13.75226297	11.26702242	7.901282453	95.87725024	12.98977085	13.14991213	17.45815871	13.72598413	7.625028445	61.20813951	92.08629013	100.143925	115.9566443	160.3155306	223.720044	241.9418151	367.5494572	392.3748212	214.6936641	75.04888452	62.51530741	2107.554523	376.4160998	833.2113164	682.1173698	215.809737	0.102398175	0.178603256	47.42426204	75.92256184	78.98187139	89.32163258	129.2131231	189.2948173	206.3823507	332.7851961	360.0574872	187.1891381	52.51483967	46.7127425	297.5166271	728.4623641	599.761465	170.0595664	1795.800023
DLS_01	17	DLS	121.376324	24.637355	2006	5	16	12	15.7	19	0.7	1	1	0.3	0.7	0.459241675	0.331985	0.275373	0.229022	0.290518	0.328798	0.242803	0.183207	0.12992	0.125531	0.140417	0.23626	0.225338	0.259522	0.225116	7.144518264	8.294457779	10.77357454	13.56778278	15.86041059	17.56947156	18.15743561	17.75980303	16.50831677	14.05143335	11.56732363	8.178860301	99.43338821	13.28611568	13.4005893	17.8289034	14.04235792	7.872612115	62.6770199	94.10776644	100.507594	116.9934429	162.1518229	229.5178565	242.4548651	370.4401355	398.7355926	220.6908867	78.75134223	64.8610266	2141.889351	379.6528598	842.4128571	698.1778216	221.6458129	0.103481449	0.177251388	48.38798338	77.51885088	78.96044494	89.85787736	130.4310017	194.3789134	206.1399939	334.9205294	365.718959	192.58802	55.61669497	48.503306	299.249324	735.4394367	613.923674	174.4101403	1823.022575
DLS_02	19	DLS	121.376795	24.637889	1996	5	16	12	15.7	19	0.7	1	1	0.3	0.7	0.385462529	0.331265	0.272492	0.230757	0.295566	0.326575	0.240684	0.182508	0.129167	0.129534	0.143252	0.235815	0.22202	0.256729	0.224975	6.849714014	8.026517107	10.54550768	13.30081583	15.54968561	17.23065596	17.79218258	17.39195083	16.14684994	13.70452321	11.22801078	7.854056144	95.62046969	12.96837247	13.13200304	17.47159646	13.69312798	7.576762422	62.76152959	92.87901883	98.88188588	114.5137669	160.3913448	228.6607459	243.0510387	370.1194917	404.1456391	227.6956773	81.97394664	66.71858305	2151.792668	373.7869976	841.8312763	713.815263	222.3591315	0.10333669	0.173709579	49.06210156	76.82598462	77.79087051	87.91213527	129.2919736	194.199434	207.4666735	335.3355901	371.8519392	200.2866309	59.51792508	51.01047076	294.9949794	737.0016976	631.6564951	176.8985569	1840.551729
